X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.41739840042932,34.03423389030138,1053,0,4255007900,Not Classified,Owned,General Services,R1-1,DUNLEER PL/COVENTRY PL,LOS ANGELES,UNKNOWN,-118.4173984,34.03423389,5,91.13620013, 
-118.443297999676986,34.026171029810058,1054,0,4257008900,OPLA,Owned,General Services,R1-1,STONER AVE/RADIO DR,Los Angeles,LOS ANGELES,-118.443298,34.02617103,11,52.16099994, 
-118.443682700502478,34.088813960233395,1055,0,4370024900,Not Classified,Owned,General Services,RE20-1-H,STRADA VECHIA DR/BEL-AIR RD,LOS ANGELES,UNKNOWN,-118.4436827,34.08881396,5,4141.380568,None
-118.44749670016212,34.109944139381561,1056,0,4380005900,OPLA,Owned,General Services,RE15-1,DELLWOOD LN/ELK LN,Los Angeles,LOS ANGELES,-118.4474967,34.10994414,5,460.4974497,None
-118.441130300217694,34.130796720145604,1057,0,4382024900,Not Classified,Owned,General Services,OS-1XL-H,MULHOLLAND DR/BEVERLY GLEN BLVD,LOS ANGELES,LOS ANGELES,-118.4411303,34.13079672,5,12729.86885,None
-118.523708999908948,34.030784000043937,1058,0,4411030900,OPLA,Owned,General Services,RE20-1,PACIFIC COAST HWY/CHAUTAUQUA BLVD,Los Angeles,LOS ANGELES,-118.523709,34.030784,11,978.3833502, 
-118.54387919997005,34.044157530689162,1059,0,4415027900,OPLA,Owned,General Services,R1-1,SUNSET BLVD/LIVORNO DR,Los Angeles,LOS ANGELES,-118.5438792,34.04415753,11,49.48660005, 
-118.517048900273949,34.043587710426763,1060,0,4423024900,OPLA,Owned,General Services,R1-1,CHAUTAUQUA BLVD/DRUMMOND ST,Los Angeles,LOS ANGELES,-118.5170489,34.04358771,11,5130.247457,None
-118.503282599430491,34.105304939902275,1061,0,4491006900,OPLA,Owned,General Services,RE15-1-H,3401 MANDEVILLE CANYON RD,Los Angeles,LOS ANGELES,-118.5032826,34.10530494,11,1145.488022, 
-118.503883800527646,34.095663730418913,1062,0,4491009900,Not Classified,Owned,General Services,RE40-1-H,MANDEVILLE CANYON RD/MERRIMAC RD,LOS ANGELES,UNKNOWN,-118.5038838,34.09566373,11,40032.90551, 
-118.480352300506112,34.074294000356083,1063,0,4494003900,Not Classified,Owned,General Services,RS-1,LOCKEARN ST/NORMAN LN,LOS ANGELES,UNKNOWN,-118.4803523,34.074294,11,200.1203998,None
-118.371115399462596,34.016793079706602,1064,0,5029016900,Not Classified,Owned,General Services,OS-1XL,GLENFORD ST/CARMONA AVE,LOS ANGELES,LOS ANGELES,-118.3711154,34.01679308,10,40.06735004, 
-118.371141699439193,34.016742519806257,1065,0,5029018900,Not Classified,Owned,General Services,OS-1XL,GLENFORD ST/CARMONA AVE,LOS ANGELES,LOS ANGELES,-118.3711417,34.01674252,10,40.21940008,None
-118.326762600462018,34.01106030967167,1066,0,5034003900,OPLA,Owned,General Services,R1-1,MARTIN LUTHER KING JR BLVD/WSIDE A,Los Angeles,LOS ANGELES,-118.3267626,34.01106031,10,5064.861246,None
-118.374449899983162,34.046516549931503,1067,0,5066007907,OPLA,Owned,General Services,R1-1,AIRDROME ST/CRESCENT HEIGHTS BLVD,Los Angeles,LOS ANGELES,-118.3744499,34.04651655,10,929.7679811,None
-118.26116389939034,34.011154050133094,1068,0,5114004900,OPLA,Owned,General Services,RD2-1,MARTIN LUTHER KING JR/MCKINLEY AVE,Los Angeles,LOS ANGELES,-118.2611639,34.01115405,9,1364.202401, 
-118.255748199985831,34.008809360029076,1069,0,5115025900,OPLA,Owned,General Services,R2-1,41ST ST/CENTRAL AVE,Los Angeles,LOS ANGELES,-118.2557482,34.00880936,9,99.99999984,None
-118.244863799676722,34.009170910247136,1070,0,5117015900,OPLA,Owned,General Services,R2-1,MORGAN AVE/40TH ST,Los Angeles,LOS ANGELES,-118.2448638,34.00917091,9,1996.440099, 
-118.278927299904552,34.043479199809326,1071,0,5135019900,OPLA,Owned,General Services,RD1.5-1,1431 CONSTANCE ST,Los Angeles,LOS ANGELES,-118.2789273,34.0434792,1,0.514977544, 
-118.231175000086097,34.01835099981362,1072,0,5167005900,OPLA,Owned,General Services,M3-1,SANTA FE AVE/BUTTE ST,Los Angeles,LOS ANGELES,-118.231175,34.018351,14,4475.098131,None
-118.220715000748115,34.05239599998945,1073,0,5174017900,OPLA,Owned,General Services,[Q]C2-1,1430 CESAR E CHAVEZ,Los Angeles,LOS ANGELES,-118.220715,34.052396,14,156.04235, 
-118.204463000428063,34.034753999934054,1074,0,5186002900,OPLA,Owned,General Services,R2-1,EUCLID AVE/LANFRANCO ST,Los Angeles,LOS ANGELES,-118.204463,34.034754,14,134.5285, 
-118.199310999678588,34.030942000387405,1075,0,5186015902,OPLA,Owned,General Services,C2-1,LORENA ST/6TH ST,Los Angeles,LOS ANGELES,-118.199311,34.030942,14,600.2016089,None
-118.214941899421291,34.061672699992968,1076,0,5210006901,Not Classified,Owned,General Services,OS-1XL,MISSION RD/DALY ST,LOS ANGELES,UNKNOWN,-118.2149419,34.0616727,14,2187.319165,None
-118.165099800248356,34.073659809756194,1077,0,5221010900,Not Classified,Owned,General Services,PF-1,VALLEY BLVD/MARIONDALE AVE,LOS ANGELES,LOS ANGELES,-118.1650998,34.07365981,14,18.16799993,None
-118.274688999885072,34.088738689549224,1078,0,5425002900,OPLA,Owned,General Services,RD1.5-1VL,1514 MICHELTORENA ST,Los Angeles,LOS ANGELES,-118.274689,34.08873869,13,225.5895985, 
-118.253952500072231,34.103819609673252,1079,0,5438009900,OPLA,Owned,General Services,R2-1VL,LAKE VIEW AVE/ADELBERT AVE,Los Angeles,LOS ANGELES,-118.2539525,34.10381961,13,11.32089997, 
-118.260581999495372,34.098950000620036,1080,0,5439004900,OPLA,Owned,General Services,R1-1VL,EDGEWATER TER/DEANE ST,Los Angeles,LOS ANGELES,-118.260582,34.09895,13,66.10204972, 
